sample	num_consensus_snps	number_N_calls
NG-28050_2_10_lib499437_7584_3	49650	344312
NG-28050_2_11_lib499438_7584_3	240	68183
NG-28050_2_12_lib499439_7584_3	50470	345733
NG-28050_2_13_lib499440_7584_1	2303	224975
NG-28050_2_15_lib499441_7584_3	49501	359165
NG-28050_2_16_lib499442_7584_3	33635	324208
NG-28050_2_17_lib499443_7584_3	45373	373041
NG-28050_2_18_1_lib499444_7584_3	34068	321346
NG-28050_2_1_lib504952_7614_4	50118	373680
NG-28050_2_20_lib504953_7614_4	50310	380775
NG-28050_2_21_lib499446_7584_3	49983	382618
NG-28050_2_22_lib499447_7584_3	49444	374532
NG-28050_2_23_lib499448_7584_3	216	73498
NG-28050_2_25_lib499449_7584_3	49138	412826
NG-28050_2_26_lib504954_7614_4	50645	369560
NG-28050_2_29_lib499451_7584_3	33687	335293
NG-28050_2_2_lib499430_7584_3	50206	294100
NG-28050_2_30_lib499452_7584_3	46202	339975
NG-28050_2_31_lib499453_7584_3	47902	279775
NG-28050_2_3_lib502120_7584_1	50333	294206
NG-28050_2_41_lib499454_7584_2	49362	397684
NG-28050_2_42_lib499455_7584_1	48085	394738
NG-28050_2_43_lib499456_7584_2	49549	381003
NG-28050_2_44_lib499457_7584_2	253	68693
NG-28050_2_45_lib499458_7584_2	49188	362410
NG-28050_2_46_lib499459_7584_2	50764	324278
NG-28050_2_47_lib499460_7584_2	47889	280197
NG-28050_2_48_lib499461_7584_2	249	68018
NG-28050_2_49_1_lib499462_7584_2	33788	335619
NG-28050_2_49_2_lib499463_7584_2	33875	335091
NG-28050_2_4_lib499432_7584_3	44285	383797
NG-28050_2_50_lib499464_7589_1	248	69499
NG-28050_2_51_lib499465_7584_2	49132	376259
NG-28050_2_52_lib499466_7584_2	48825	378263
NG-28050_2_53_lib504955_7614_4	45976	361575
NG-28050_2_54_lib499468_7584_2	45089	382810
NG-28050_2_56_lib499469_7584_2	32532	365589
NG-28050_2_57_lib499470_7584_2	45436	364771
NG-28050_2_58_lib499471_7584_2	45278	377788
NG-28050_2_59_lib504956_7614_4	50236	354227
NG-28050_2_60_lib499473_7584_2	45455	364156
NG-28050_2_61_lib499474_7584_2	46041	360832
NG-28050_2_62_lib499475_7584_2	49327	389016
NG-28050_2_63_lib499476_7584_2	49762	354845
NG-28050_2_64_lib499477_7589_2	45865	363418
NG-28050_2_65_lib499478_7589_2	48984	376461
NG-28050_2_66_lib499479_7589_2	50346	351079
NG-28050_2_67_lib499480_7589_2	46142	356720
NG-28050_2_68_lib504957_7614_4	1550	188810
NG-28050_2_69_lib499482_7589_2	50147	347341
NG-28050_2_6_lib499433_7584_3	47807	280638
NG-28050_2_70_lib499483_7589_2	50081	373419
NG-28050_2_71_lib499484_7589_2	46691	355529
NG-28050_2_72_lib499485_7589_2	1545	188854
NG-28050_2_74_lib499486_7589_2	52848	362695
NG-28050_2_75_lib499487_7589_2	49702	344225
NG-28050_2_76_lib499488_7589_2	49073	381748
NG-28050_2_77_lib499489_7589_2	49685	379780
NG-28050_2_78_lib499490_7589_2	32661	365617
NG-28050_2_79_lib504958_7614_4	34480	325373
NG-28050_2_7_lib499434_7584_3	44113	366852
NG-28050_2_80_lib499492_7589_2	49722	360002
NG-28050_2_81_lib499493_7589_2	375	70896
NG-28050_2_82_lib499494_7589_2	49822	374978
NG-28050_2_83_lib499495_7589_2	34170	327431
NG-28050_2_84_lib504959_7614_4	45869	370221
NG-28050_2_85_lib499497_7589_2	46716	330981
NG-28050_2_86_lib499498_7589_2	45663	364666
NG-28050_2_87_lib499499_7589_2	49279	400917
NG-28050_2_88_lib507767_7625_2	45793	370204
NG-28050_2_89_lib499501_7589_2	49083	326010
NG-28050_2_8_lib499435_7584_3	32491	380984
NG-28050_2_90_lib499502_7589_2	49279	335036
NG-28050_2_91_lib499503_7589_2	177	2891964
NG-28050_2_92_lib499504_7589_2	50192	370930
NG-28050_2_93_lib499505_7589_2	44521	377869
NG-28050_2_94_lib499506_7589_2	50703	340974
NG-28050_2_95_lib507768_7625_2	385	70692
NG-28050_2_96_lib499508_7589_2	49873	374177
NG-28050_2_97_lib499509_7589_2	49800	386485
NG-28050_2_98_lib499510_7589_2	351	71535
NG-28050_2_9_lib499436_7584_3	49040	381089
NG-28050_3_10_lib503330_7590_2	50577	292452
NG-28050_3_11_lib499563_7589_2	48109	278645
NG-28050_3_12_lib499564_7589_1	47255	311905
NG-28050_3_13_lib499565_7589_1	48161	278342
NG-28050_3_15_lib499567_7589_1	50081	358254
NG-28050_3_16_lib499568_7589_1	47056	318291
NG-28050_3_17_lib499569_7589_2	48865	425541
NG-28050_3_18_lib499570_7589_1	49234	377156
NG-28050_3_19_lib499571_7589_2	49959	358671
NG-28050_3_1_lib499553_7589_2	1117	121760
NG-28050_3_20_lib499572_7589_2	46317	373759
NG-28050_3_21_lib499573_7589_2	49236	416786
NG-28050_3_22_lib499574_7589_2	49947	357982
NG-28050_3_23_lib499575_7589_2	49754	371301
NG-28050_3_24_lib499576_7589_2	45542	371151
NG-28050_3_25_lib499577_7589_2	48097	278200
NG-28050_3_26_lib499578_7589_2	49581	406045
NG-28050_3_2_lib499554_7589_2	49510	391320
NG-28050_3_3_lib499555_7589_2	45806	349573
NG-28050_3_4_lib499556_7589_2	45322	388584
NG-28050_3_5_lib499557_7589_2	872	193187
NG-28050_3_6_lib499558_7589_2	49097	418480
NG-28050_3_7_lib503329_7590_2	45475	299593
NG-28050_3_8_lib499560_7589_2	49831	385142
NG-28050_3_9_lib499561_7589_2	28236	316146
NG-28050_7_10_lib499520_7589_2	49167	416697
NG-28050_7_11_lib499521_7589_2	47974	281125
NG-28050_7_12_lib499522_7589_2	47870	301820
NG-28050_7_13_lib499523_7589_2	47752	302945
NG-28050_7_14_lib499524_7589_2	32467	370999
NG-28050_7_15_lib499525_7589_2	47990	279437
NG-28050_7_16_lib499526_7589_2	47754	301404
NG-28050_7_17_lib499527_7589_2	3777	201498
NG-28050_7_18_lib499528_7589_2	49857	373561
NG-28050_7_19_lib499529_7589_2	32554	367667
NG-28050_7_1_lib499511_7589_2	48164	277525
NG-28050_7_20_lib499530_7589_2	45290	376055
NG-28050_7_21_lib499531_7589_2	50589	365652
NG-28050_7_22_lib499532_7589_2	49512	399554
NG-28050_7_23_lib499533_7589_2	49687	368938
NG-28050_7_24_lib499534_7589_2	45188	366923
NG-28050_7_25_lib499535_7613_1	943	172838
NG-28050_7_26_lib499536_7589_2	50164	329436
NG-28050_7_27_lib499537_7589_2	32914	363488
NG-28050_7_28_lib499538_7589_2	40070	361510
NG-28050_7_29_lib499539_7589_2	45301	376061
NG-28050_7_2_lib499512_7589_2	50118	353439
NG-28050_7_30_lib499540_7589_2	50180	355316
NG-28050_7_31_lib499541_7589_2	47827	302336
NG-28050_7_32_lib499542_7589_2	45547	384504
NG-28050_7_33_lib499543_7589_2	49065	376583
NG-28050_7_34_lib499544_7590_2	45594	369027
NG-28050_7_35_lib504963_7614_4	50410	354263
NG-28050_7_36_lib499546_7589_2	49895	380045
NG-28050_7_37_lib499547_7589_2	49635	371035
NG-28050_7_38_lib504964_7614_4	49891	366932
NG-28050_7_39_lib499549_7589_2	50530	368000
NG-28050_7_3_lib499513_7589_2	49851	359717
NG-28050_7_40_lib499550_7589_2	47932	279849
NG-28050_7_41_lib499551_7589_2	45607	367949
NG-28050_7_42_lib499552_7589_2	49504	367899
NG-28050_7_4_lib503327_7590_2	49312	409250
NG-28050_7_5_lib499515_7589_2	48982	419604
NG-28050_7_6_lib499516_7589_2	49359	410861
NG-28050_7_7_lib499517_7589_2	45276	377358
NG-28050_7_8_lib508062_7625_2	48010	300069
NG-28050_7_9_lib499519_7589_2	28432	315409
NG-29307_2_100_lib568923_7882_2	50168	370078
NG-29307_2_101_lib568924_7882_2	50639	325268
NG-29307_2_14_lib572946_7920_1	33700	336792
NG-29307_2_18_2_lib568959_7882_2	43781	308544
NG-29307_2_19_lib568947_7882_2	50141	374141
NG-29307_2_27_lib572947_7920_1	49583	372327
NG-29307_2_28_lib572948_7920_1	50528	370709
NG-29307_2_32_lib572949_7920_1	49639	381159
NG-29307_2_33_lib568951_7882_2	32702	355481
NG-29307_2_34_lib568952_7882_2	49757	374993
NG-29307_2_36_lib568953_7882_2	49960	358491
NG-29307_2_37_lib572443_7903_4	49774	357855
NG-29307_2_38_lib568955_7882_2	49363	388687
NG-29307_2_39_lib568956_7882_2	49657	383366
