sample_id	raw total sequences	filtered sequences	sequences	is sorted	1st fragments	last fragments	reads mapped	reads mapped and paired	reads unmapped	reads properly paired	reads paired	reads duplicated	reads MQ0	reads QC failed	non-primary alignments	total length	total first fragment length	total last fragment length	bases mapped	bases mapped (cigar)	bases trimmed	bases duplicated	mismatches	error rate	average length	average first fragment length	average last fragment length	maximum length	maximum first fragment length	maximum last fragment length	average quality	insert size average	insert size standard deviation	inward oriented pairs	outward oriented pairs	pairs with other orientation	pairs on different chromosomes	percentage of properly paired reads (%)	avg_depth	stdev_depth	num_ht_sites
NG-28050_2_10_lib499437_7584_3	6449643	0	6449643	1	3223727	3225916	5939060	5834240	510583	5789134	6315694	0	73178	0	341	973896093	486782777	487113316	896798060	895824837	0	0	17680625	1.973670e-02	151	151	151	151	151	151	35.6	390.8	119.8	2896264	12286	8570	0	89.8	308.5368792804016	124.79531990821762	882
NG-28050_2_11_lib499438_7584_3	6672594	0	6672594	1	3330671	3341923	6292734	6123986	379860	5935800	6499505	0	151175	0	327	1007561694	502931321	504630373	950202834	949603634	0	0	3497907	3.683544e-03	151	151	151	151	151	151	35.6	347.1	109.5	2957651	17743	86599	0	89.0	327.1484803896068	58.3176818404697	102
NG-28050_2_12_lib499439_7584_3	9121927	0	9121927	1	4555173	4566754	8484599	8380936	637328	8322294	8972595	0	118252	0	472	1377410977	687831123	689579854	1281174449	1279779707	0	0	25318740	1.978367e-02	151	151	151	151	151	151	35.7	357.5	107.4	4158291	18727	13450	0	91.2	440.77673025636506	157.88200198323074	710
NG-28050_2_13_lib499440_7584_1	3592720	0	3592720	1	1798352	1794368	3423023	3291566	169697	3250230	3455216	0	62606	0	175	542500720	271551152	270949568	516876473	515849990	0	0	2309229	4.476551e-03	151	151	151	151	151	151	35.7	243.8	66.4	1572032	55200	18551	0	90.5	177.70626733994368	63.927064660777795	225
NG-28050_2_15_lib499441_7584_3	5097629	0	5097629	1	2547539	2550090	4592998	4500848	504631	4471812	4975170	0	67677	0	289	769741979	384678389	385063590	693542698	692699675	0	0	13561307	1.957747e-02	151	151	151	151	151	151	35.8	334.7	98.6	2230323	14668	5433	0	87.7	238.5683115834355	103.15435859780983	901
NG-28050_2_16_lib499442_7584_3	7000489	0	7000489	1	3497926	3502563	6642572	6567464	357917	6526320	6903161	0	111848	0	401	1057073839	528186826	528887013	1003028372	1002185335	0	0	14840771	1.480841e-02	151	151	151	151	151	151	35.7	355.0	108.3	3258841	17666	7225	0	93.2	345.1837605968954	116.7954705666249	660
NG-28050_2_17_lib499443_7584_3	7326966	0	7326966	1	3660943	3666023	6741559	6655890	585407	6621020	7212823	0	88358	0	363	1106371866	552802393	553569473	1017975409	1016943863	0	0	19193618	1.887382e-02	151	151	151	151	151	151	35.7	373.3	117.1	3309915	12749	5281	0	90.4	350.2612233985928	126.70045049448744	657
NG-28050_2_18_1_lib499444_7584_3	7462493	0	7462493	1	3729078	3733415	7086063	7012550	376430	6969422	7363600	0	117341	0	490	1126836443	563090778	563745665	1069995513	1069091590	0	0	15821266	1.479879e-02	151	151	151	151	151	151	35.7	352.2	111.9	3479478	19529	7268	0	93.4	368.22860905961136	120.40134947997028	650
NG-28050_2_1_lib504952_7614_4	13812397	0	13812397	1	6894709	6917688	12653099	12547838	1159298	12450412	13613767	0	162208	0	706	2085671947	1041101059	1044570888	1910617949	1908230650	0	0	43033242	2.255138e-02	151	151	151	151	151	151	34.9	405.1	129.0	6234910	22691	16318	0	90.1	657.2050617046192	267.53095849246205	708
NG-28050_2_20_lib504953_7614_4	15026821	0	15026821	1	7500416	7526405	13780377	13687598	1246444	13589244	14835307	0	225445	0	657	2269049971	1132562816	1136487155	2080836927	2078140505	0	0	45775594	2.202719e-02	151	151	151	151	151	151	35.1	362.7	118.3	6787445	40077	16277	0	90.4	715.7309698586001	218.7427460919774	809
NG-28050_2_21_lib499446_7584_3	8640722	0	8640722	1	4317693	4323029	7963918	7874200	676804	7834290	8503917	0	143662	0	422	1304749022	651971643	652777379	1202551618	1201147430	0	0	23769867	1.978930e-02	151	151	151	151	151	151	35.8	323.7	96.0	3907779	24509	4812	0	90.7	413.68450044597654	152.33315502917844	872
